filename,slices_string
mp-10488.cif,Cs Cs Cs Cs Ti Ti Ag Ag Ag Ag S S S S S S S S 0 13 ooo 0 13 o+o 0 16 ooo 0 16 +oo 0 17 oo- 0 17 o+- 0 14 oo- 0 14 +o- 1 12 ooo 1 12 -oo 1 15 ooo 1 15 o+o 1 10 ooo 1 10 -oo 1 11 ooo 1 11 o+o 2 11 ooo 2 11 +oo 2 12 ooo 2 12 o-o 2 15 ooo 2 15 +oo 2 10 ooo 2 10 o-o 3 14 oo- 3 14 o-- 3 16 ooo 3 16 o-o 3 13 ooo 3 13 -oo 3 17 oo- 3 17 -o- 4 14 ooo 4 11 ooo 4 10 ooo 4 17 ooo 5 15 ooo 5 16 ooo 5 13 ooo 5 12 ooo 6 14 ooo 6 10 -oo 6 11 ooo 6 17 -oo 7 10 o-o 7 17 ooo 7 14 o-o 7 11 ooo 8 16 ooo 8 13 -oo 8 15 ooo 8 12 -oo 9 13 ooo 9 16 o-o 9 15 ooo 9 12 o-o 
mp-1235291.cif,Li Au Au Au Au Se Se Se Se Cl Cl Cl Cl O O O O O O O O O O O O 0 14 oo- 0 19 ooo 0 17 ooo 0 3 -o- 1 15 ooo 1 17 ooo 1 19 ooo 1 10 -oo 2 23 o+o 2 13 -o+ 2 18 -oo 2 16 o++ 3 22 ooo 3 20 ooo 3 14 ooo 3 9 +oo 4 24 +oo 4 21 ooo 4 12 o-o 4 11 +oo 5 15 +oo 5 13 ooo 5 21 o+o 6 18 -oo 6 19 oo+ 6 22 -oo 7 16 +oo 7 14 oo- 7 17 +oo 8 20 -oo 8 23 ooo 8 24 ooo 
mp-977049.cif,Hf Hf Hf Hf Hf Hf Hf Hf Co Co Co Co Co Co Co Co Ge Ge Ge Ge Ge Ge Ge Ge Ge Ge Ge Ge Ge Ge 0 27 -oo 0 24 o-o 0 28 oo- 0 29 --o 0 17 --o 0 17 ooo 0 16 ooo 1 25 o+o 1 26 +oo 1 29 oo+ 1 28 ++o 1 16 ++o 1 16 ooo 1 17 ooo 2 24 ooo 2 26 oo- 2 29 -oo 2 28 o+- 2 19 -oo 2 19 o+o 2 18 ooo 3 27 ooo 3 25 oo- 3 28 +o- 3 29 o-o 3 18 +oo 3 18 o-o 3 19 ooo 4 18 oo+ 4 16 ooo 4 20 ooo 4 29 oo+ 4 28 ooo 4 25 -oo 4 25 o+o 5 17 ooo 5 19 ooo 5 21 ooo 5 28 oo- 5 29 ooo 5 24 +oo 5 24 o-o 6 18 ooo 6 17 ooo 6 22 ooo 6 28 oo- 6 29 ooo 6 27 o+o 6 27 -oo 7 19 oo+ 7 16 ooo 7 23 ooo 7 29 oo+ 7 28 ooo 7 26 o-o 7 26 +oo 8 17 ooo 8 16 ooo 8 23 ooo 8 21 ooo 8 26 +oo 8 24 o-o 9 17 o-o 9 16 +oo 9 22 o-o 9 20 +oo 9 27 ooo 9 25 ooo 10 18 ooo 10 19 -oo 10 22 ooo 10 21 -oo 10 27 -oo 10 24 ooo 11 18 oo+ 11 19 o++ 11 20 ooo 11 23 o+o 11 25 o+o 11 26 ooo 12 19 ooo 12 18 o-o 12 21 ooo 12 22 o-o 12 27 ooo 12 24 o-o 13 19 oo+ 13 18 +o+ 13 23 ooo 13 20 +oo 13 26 +oo 13 25 ooo 14 17 -oo 14 16 o+o 14 21 -oo 14 23 o+o 14 24 ooo 14 26 ooo 15 17 ooo 15 16 ooo 15 22 ooo 15 20 ooo 15 27 -oo 15 25 o+o 20 21 -oo 22 23 o+o 28 29 --+ 28 29 oo+ 
mp-9514.cif,Mg Al Al C C 0 3 --- 0 3 oo- 0 3 -o- 0 4 ooo 0 4 --o 0 4 o-o 1 3 -oo 1 3 o+o 1 3 ooo 1 4 ooo 2 4 +oo 2 4 o-o 2 4 ooo 2 3 ooo 
mp-1030635.cif,La Mg Mg Mg O O O O 0 4 ooo 0 4 -oo 0 7 o-o 0 7 ooo 0 6 oo- 0 6 ooo 1 7 ooo 1 7 oo+ 1 6 o+o 1 6 ooo 1 5 -oo 1 5 ooo 2 4 ooo 2 4 oo+ 2 6 +oo 2 6 ooo 2 5 ooo 2 5 o-o 3 5 oo- 3 5 ooo 3 7 +oo 3 7 ooo 3 4 o+o 3 4 ooo 
mp-1213539.cif,Cu Cu Cu Cu Cu Cu Cu Cu Si Si Si Si P P P P P P P P P P P P P P P P 0 13 ooo 0 16 ooo 0 24 ooo 0 27 ooo 0 2 o-o 0 4 +oo 1 12 ooo 1 14 ooo 1 22 ooo 1 26 ooo 1 2 ooo 1 4 o+o 2 16 o+o 2 12 ooo 2 20 ooo 2 23 ooo 3 17 oo+ 3 19 ooo 3 27 ooo 3 24 ooo 3 6 ooo 3 7 oo+ 4 14 o-o 4 13 -oo 4 21 ooo 4 25 ooo 5 15 oo- 5 18 ooo 5 26 ooo 5 22 ooo 5 6 oo- 5 7 +oo 6 19 ooo 6 15 ooo 6 23 ooo 6 20 ooo 7 18 -oo 7 17 ooo 7 25 ooo 7 21 ooo 8 27 -oo 8 24 ooo 8 16 ooo 8 19 -oo 9 26 -oo 9 22 ooo 9 18 -oo 9 14 ooo 10 23 -oo 10 20 ooo 10 15 -oo 10 12 ooo 11 25 ooo 11 21 +oo 11 13 ooo 11 17 ooo 12 22 ooo 12 23 ooo 13 24 ooo 13 25 +oo 14 21 o+o 14 26 ooo 15 26 oo+ 15 20 ooo 16 20 o-o 16 27 ooo 17 27 oo- 17 21 ooo 18 25 +oo 18 22 ooo 19 23 ooo 19 24 ooo 
mp-8294.cif,Cs Cs Cs Cs Li Li Li Li Ti Ti O O O O O O O O 0 13 o+o 0 17 o+o 0 17 ooo 0 10 ooo 0 10 +oo 0 14 oo+ 0 15 o+o 0 12 ooo 1 12 o-o 1 16 o-o 1 16 ooo 1 11 ooo 1 11 -oo 1 15 oo- 1 14 o-o 1 13 ooo 2 15 o+- 2 15 oo- 2 14 ooo 2 14 +oo 2 10 +o- 2 11 ooo 3 14 o-+ 3 14 oo+ 3 15 ooo 3 15 -oo 3 11 -o+ 3 10 ooo 4 11 ooo 4 13 +oo 4 12 o-o 4 17 ooo 5 10 ooo 5 12 -oo 5 13 o+o 5 16 ooo 6 17 ooo 6 16 ooo 6 12 ooo 6 11 ooo 7 16 ooo 7 17 ooo 7 13 ooo 7 10 ooo 8 14 ooo 8 11 -oo 8 16 ooo 8 12 -oo 9 15 ooo 9 10 +oo 9 17 ooo 9 13 +oo 
mp-756804.cif,Te Te P P H H O O O O O O O O O O 0 8 ooo 0 13 -o- 0 15 -oo 0 6 oo- 0 7 oo- 0 14 -oo 1 9 ooo 1 12 --- 1 11 --o 1 10 oo- 1 15 -oo 1 6 o-- 2 9 ooo 2 10 ooo 2 13 ooo 2 7 ooo 3 12 ooo 3 11 ooo 3 8 ooo 3 14 ooo 4 15 -oo 4 7 ooo 5 6 +oo 5 14 ooo 
mp-1178540.cif,Co Co Co Co Co Co Co Co O O O O O O O O O O O O O O O O 0 18 -oo 0 18 ooo 0 18 o+o 0 12 o+o 0 12 ++o 0 12 ooo 1 16 -oo 1 16 --o 1 16 ooo 1 15 ooo 1 15 o+o 1 15 -oo 2 17 ooo 2 17 o+o 2 17 -oo 2 21 -oo 2 21 --o 2 21 ooo 3 19 ++o 3 19 o+o 3 19 ooo 3 20 ooo 3 20 -oo 3 20 o+o 4 8 ooo 4 8 -oo 4 8 o+o 4 22 o+o 4 22 ++o 4 22 ooo 5 11 o+o 5 11 ++o 5 11 ooo 5 10 ooo 5 10 -oo 5 10 o+o 6 23 --o 6 23 -oo 6 23 ooo 6 9 ooo 6 9 o+o 6 9 -oo 7 13 o+o 7 13 ooo 7 13 -oo 7 14 -oo 7 14 --o 7 14 ooo 
mp-35171.cif,Nb Nb O O O O F F 0 5 ooo 0 2 -o- 0 4 -oo 0 3 oo- 0 6 oo- 0 7 -oo 1 4 o-o 1 3 ooo 1 2 o-o 1 5 ooo 1 7 ooo 1 6 o-o 
